date: 2018-11-27 ; title: 奉节县朱衣镇三塘村农村移民安置区精准帮扶项目中标结果公告 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20181127/a32908eb-f84e-4c86-9ca5-d8847f807d99.html
date: 2016-09-06 ; title: 彩云湖小学天桥设计施工总承包 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160906/fe042bb4-7e72-4490-a18e-46dfe199cb8d.html
date: 2016-09-05 ; title: 流程分析仪器及环保监测装备产业化项目（4号厂房和食堂） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/39d52648-620f-459e-b3d1-eae7d437465e.html
date: 2016-09-05 ; title: 重庆市观景口水利枢纽工程库区公路碾芦路复建工程（一标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/7a753f32-2861-45c3-ad6c-418e03b132aa.html
date: 2016-09-05 ; title: 重庆市观景口水利枢纽工程库区公路碾芦路复建工程（二标段）  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/ea474e6d-4357-4c20-a64e-a457301fe80f.html
date: 2016-09-05 ; title: 重庆市观景口水利枢纽工程库区公路碾芦路复建工程（三标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/00458842-c4b2-4665-809b-c1d7ffe5ca00.html
date: 2016-09-05 ; title: 开县云华水库、小寨三库、悦耳水库、铁炉湾水库、螃开井水库、黑沟水库、观音岩水库除险加固工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/e1e569c9-5fb1-4d3c-8519-2a090e03f634.html
date: 2016-09-05 ; title: 秋成大道一期路灯箱变工程 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/28eb8b98-e01c-4249-a634-75c5aeab480a.html
date: 2016-09-05 ; title: 奉节县县城安全出口通道工程（夔州东路-六号桥段改扩建工程）-熊家包移民安置区道路改造工程中标结果公示表 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/b3e6dc60-36d3-4982-a55b-f50e006c21fd.html
date: 2016-09-02 ; title: 梁滩河整治工程(高新区西区段)勘察设计 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/f1f7cd3a-fb2a-4f94-8eb7-f76558ed3782.html
date: 2016-09-02 ; title: 经开区美的工业园污水管网搭接工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/558591e2-cf77-4739-a284-c965dbaea259.html
date: 2016-09-02 ; title: 公园绿地危岩整治工程勘察设计 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/3bd77386-4a95-47f3-9d01-ca1c2b30fac7.html
date: 2016-09-02 ; title: 六纵线(机东南至六横线段)道路工程二标段（寨子路至六横线段）勘察招标 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/024cd328-e0af-40b3-9e12-217492c83bb9.html
date: 2016-09-02 ; title: 中交.锦悦（暂定名）Q08-2 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/bdd1b1e1-08e9-4924-818e-2617fb33898f.html
date: 2016-09-02 ; title: 重庆市南岸区东水门大桥P+R换乘中心项目监理  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/eaec8840-dca8-45ec-84d7-dd9cb3fd9233.html
date: 2016-09-02 ; title: 南岸区大佛段小学征地迁建工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/ebe7536a-59e1-4931-a759-077cdf4b7e4a.html
date: 2016-09-02 ; title: 重庆复地金融中心 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/79549496-e620-402d-bf31-5d8cf2cd74b7.html
date: 2016-09-02 ; title: 重庆总部城A区11#楼装饰工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/23e2cb89-17f3-4e3d-91e5-05d1468a63c6.html
date: 2016-09-02 ; title: 重庆市江津区柑橘良种苗木繁育基地建设项目（二标段）第二次 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/7e390110-39ea-41cd-91be-cf096d08ba7b.html
date: 2016-09-02 ; title: 重庆百货大楼股份有限公司江北商场消防改造工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/8c8a8e79-ea56-4e62-9b0b-99f7f2757d2e.html
date: 2016-09-06 ; title: 巫山县城市夜景照明灯饰亮化工程（四期） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160906/ac277d46-0d9c-45db-9268-aeed6eafceb5.html
date: 2016-09-06 ; title: 奉节县兴隆镇金凤路黄土包段基础设施综合改造工程拟中标结果公示表 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160906/30c86be6-595b-4ef8-9505-b175ec20a533.html
date: 2016-09-06 ; title: 奉节县安坪镇大花林、李家屋场等14个集中居民点对外交通工程二标段中标结果公示 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160906/8fcaa898-df33-43d5-b3b6-b12e8fb8483d.html
date: 2016-09-06 ; title: 奉节县安坪镇大花林、李家屋场等14个集中居民点对外交通工程一标段中标结果公示 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160906/87fa5e68-94c6-4ed5-9559-cd3eb7888c9a.html
date: 2016-09-05 ; title: 重庆市职业病防治院中毒救治综合大楼二期及职业病防治大楼电梯扶梯采购及安装工程（一标段）（二次招标） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/82883424-168b-49df-86fb-8a3cc370dfd8.html
date: 2016-09-05 ; title: 重庆市职业病防治院中毒救治综合大楼二期及职业病防治大楼电梯扶梯采购及安装工程（二标段）（二次招标） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/6c72d464-5cde-48ca-b757-51e0b583c016.html
date: 2016-09-05 ; title: 涪陵新城区涞滩河库岸整治工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/02337edd-fbed-4a60-8c04-734ab67b4558.html
date: 2016-09-05 ; title: 重庆市巫溪县小型水库水源保障工程项目勘察设计（三标段）（第二次） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/5b36c298-67f1-466b-8c98-0806e823d22f.html
date: 2016-09-05 ; title: 重庆鱼复现代物流园项目一期工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/bb5af200-a37c-42be-92f9-329ac895dc55.html
date: 2016-09-05 ; title: H5路道路及配套工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/38c85da2-616b-4207-bdd3-fee60f33ae53.html
date: 2016-09-05 ; title: Z3路云计算段道路工程（重新招标） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/35e11b9e-c0e2-4576-9662-442bb55bf01c.html
date: 2016-09-05 ; title: ZXSYSGZ工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/f9e82978-291b-4151-a625-cea7bfdb773d.html
date: 2016-09-05 ; title: KZLL工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/42f3d64d-3b98-4d6b-ae77-f9880a4b7b5c.html
date: 2016-09-05 ; title: 重庆市观景口水利枢纽工程库区公路碾芦路复建工程（三标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/472c2921-e1db-4ea8-9937-b81e57c12eab.html
date: 2016-09-05 ; title: 重庆市观景口水利枢纽工程库区公路碾芦路复建工程（二标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/57910de1-f042-45d6-85a6-660b9f288636.html
date: 2016-09-05 ; title: 开县云华水库、小寨三库、悦耳水库、铁炉湾水库、螃开井水库、黑沟水库、观音岩水库除险加固工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/089ce847-cfeb-42a2-9427-4d5ab354b73d.html
date: 2016-09-05 ; title: 竹溪路北延伸段及万寿公租房配套支路（三期）横向支路东段（K1+240.246～K1+465.829）道路工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/37f7b758-6133-490a-9fcb-648b4dcbcf19.html
date: 2016-09-05 ; title: 重庆百能达普什冲焊新厂建设项目监理（第二次）  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160905/094e14fc-7b42-4e8d-8121-b79ffa6e86bc.html
date: 2016-09-19 ; title: 双凤桥枢纽站旁地块临时停车场工程中标结果公示表 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160919/f3703b3f-70ec-42ef-88dd-de8654ba864a.html
date: 2016-09-18 ; title: 亚行贷款重庆市统筹城乡基础设施建设二期项目万州区杨柳水厂水处理及污泥处理设施土建工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160918/c122e600-01bb-4da5-bef6-0eef9f33aafc.html
date: 2016-09-18 ; title: 青山公司技术中心建设项目（二期）--自动变速器厂房建设 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160918/41d7b025-94fb-4331-95c0-728471f3dc11.html
date: 2016-09-18 ; title: 北碚区龙凤溪库岸变形段治理工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160918/684fd777-215b-4999-a336-fd397301d34b.html
date: 2016-09-18 ; title: 重庆高速公路集团有限公司中渝营运分公司桥梁维修加固工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160918/683f8dd0-1948-4810-be8a-155399fc4c32.html
date: 2016-09-18 ; title: 沙坪坝区旭阳树人小学装修及环境景观工程施工  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160918/bc322a42-679f-46f0-b4f6-5f05e6c55510.html
date: 2016-09-18 ; title: 巫溪县孔梁水库库周游步道及观景配套工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160918/e3b7d010-2b57-4ee0-a4c5-cbde8ac49ed6.html
date: 2016-09-14 ; title: 重庆工商大学综合实训与文献信息中心•学术报告厅及车库工程室内精装修（一标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/37ed4c80-4b23-467f-a3f2-daea33e0c6fe.html
date: 2016-09-14 ; title: 重庆工商大学综合实训与文献信息中心•学术报告厅及车库工程室内精装修（二标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/806bd88c-c528-47ab-add1-aa3f4f98ee1a.html
date: 2016-09-14 ; title: 长江干流江津油溪和龙华镇段防洪护岸工程护岸部分勘察设计（一标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/4d1d760f-9a9c-42c9-b608-28fa6b373111.html
date: 2016-09-14 ; title: 长江干流江津油溪和龙华镇段防洪护岸工程护岸部分勘察设计（二标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/9cb5349c-4ed0-4275-8ba4-118ac4ea8214.html
date: 2016-09-14 ; title: 电子设计自动化（EDA）公共技术平台工程施工招标 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/20665ad9-a1a6-44a6-9360-076b5f4d1f17.html
date: 2016-09-14 ; title: 水土高新园E标准分区配套路网一期道路工程设计  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/23fb7716-9d14-4da5-8098-e37e406c4b64.html
date: 2016-09-14 ; title: 万州区毛田坝水库工程勘察设计 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/622d667e-d9ef-4eb0-86f5-838d65b83072.html
date: 2016-09-14 ; title: 物流园国际物流园社区与生产资料片区上跨铁路连接通道工程勘察设计 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/c8fcfcc4-5fbe-40ad-a172-338cce0496ab.html
date: 2016-09-14 ; title: 巫溪县文峰镇新城街街景再造工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/4352cca6-32c4-469c-a563-1e21b017fa6f.html
date: 2016-09-14 ; title: 长寿菩提山文化配套设施服务项目（综合楼及商业门市） ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160914/60a420af-f175-4e99-a297-135fedbcc7f6.html
date: 2016-09-13 ; title: G65渝湘高速公路清平、阿蓬江、酉阳、秀山、洪安服务区污水处理系统改造工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160913/5d3d63af-bd76-48bd-9271-99f7818a6e1c.html
date: 2016-09-09 ; title: 重庆市渝北区工程建设项目中标（中选）结果公示表 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/3ee90805-7ed3-445d-8135-a8b62bdad83e.html
date: 2016-09-09 ; title: 新建大盛镇大盛二桥项目 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/1799c09f-c68f-4451-8594-bee7ce6c6d2f.html
date: 2016-09-09 ; title: 重庆市濑溪河大型灌区续建配套与节水改造工程荣昌灌片2016年度项目万福寺至双河输水工程一标段  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/b7d919eb-de48-40b1-ae48-ddc1b6f40192.html
date: 2016-09-09 ; title: 经开区奥特莱斯建设项目场平工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/ee826e12-fb52-4d46-8708-a0310e334652.html
date: 2016-09-09 ; title: 重庆商务职业学院迁建大学城项目15#、16#学生宿舍工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/dfbae539-4fd2-4345-a060-fd64996ad9e4.html
date: 2016-09-09 ; title: 经开区奥特莱斯建设项目场平工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/b447efcc-e051-4e59-a93a-fd488c0e335a.html
date: 2016-09-09 ; title: 五四大道南段支路二期道路工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/89051381-6601-4592-a4e8-c22177624530.html
date: 2016-09-09 ; title: 新桥水库沙邦桥项目中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/319ccf01-08d9-4eff-a87b-a5faa0c6830e.html
date: 2016-09-08 ; title: 奉节县繁荣初级中学中西部农村初中校舍改造工程(教学综合楼)拟中标结果公示表 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/f4da9db5-04ad-4d6e-9016-12afa3a44b1a.html
date: 2016-09-08 ; title: 长寿区2016年农村公路改造工程（云集镇华柳路）中标结果公告 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/4a13d324-d64c-4177-967a-530e11107a0f.html
date: 2016-09-08 ; title:  重庆市第三垃圾焚烧发电厂项目装饰装修工程设计招标 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/4bd54db3-97b6-4204-9f84-21c6924c6165.html
date: 2016-09-08 ; title: 万州经开区高峰生态工业园石梁片区道路及管网工程-万忠路打杵坵东段施工招标 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/ed836c4d-3c47-4f87-bf22-211708b67d1a.html
date: 2016-09-08 ; title: 沙坪坝工业园青凤组团启动区土地整治项目施工监理一标段  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/4e024f27-546e-4261-96cd-d1400c53dcbd.html
date: 2016-09-08 ; title: 仙桃数据谷二期一标段投融资建设工程中标结果公告 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/7e13af0a-22e2-4383-9582-8a3a722329d0.html
date: 2016-09-08 ; title: 中标结果公告 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160908/a1b9ac1c-6719-44a6-b136-560e144a06c1.html
date: 2016-09-07 ; title: 大学城复线隧道与沙壁大道项目（沙壁大道标段）勘察设计 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160907/5c5aac04-9319-460a-a353-e89fc7c1472d.html
date: 2016-09-07 ; title: 重庆市轨道交通十号线工程项目整流器（二次招标） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160907/4345bef6-2170-4be0-9d73-33935abb3618.html
date: 2016-09-07 ; title: 重庆总部城A区11#楼空调采购及安装工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160907/ecb6f7c4-11cb-4da2-ae09-e26794208a59.html
date: 2016-09-12 ; title: 重庆市轨道交通九号线一期工程PPP项目（第二次）  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/08af2e8a-1234-4ce6-93a0-215d23fec555.html
date: 2016-09-12 ; title: 柳吊溪水系综合整治一期工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/10a619d8-817c-41dc-9b6b-c1701e1c047c.html
date: 2016-09-12 ; title: 涪陵区蔺市移民迁建集镇小区综合帮扶项目(道路、管网、绿化环卫、客运站附属工程) ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/ef12cab1-ed2f-416a-b2cf-3f5d010bf746.html
date: 2016-09-12 ; title: 悦来新城会展公园（悦来会展公园配套服务用房）监理  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/54b72463-1b89-42b7-a7c8-d9dd1b235068.html
date: 2016-09-12 ; title: 长寿区紫耘花海对外连接道工程（关袁路、森林通道连接道）中标结果公告 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/7f805a9a-9aa2-4e4b-b97d-79ca39adc172.html
date: 2016-09-12 ; title: 重钢集团耐火材料公司城市棚户区拆除工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/e6d994c0-53bb-4f44-b1b2-69cc3b391afb.html
date: 2016-09-12 ; title: 巫山县早阳新城早阳大道工程勘察设计  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/b0f9687c-7c67-4488-a494-3bedb02c9f22.html
date: 2016-09-12 ; title: 奉节县乡镇二三级污水管网工程（兴隆镇）拟中标结果公示表 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/ba9823ac-327e-4298-8951-37caab145456.html
date: 2016-09-12 ; title: 奉节县乡镇二三级污水管网工程（草堂镇）拟中标结果公示表 ; location: 奉节县 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160912/9bfb938b-50f0-4e9b-bad7-b4c288feb1d5.html
date: 2016-09-09 ; title: 重庆市濑溪河大型灌区续建配套与节水改造工程荣昌灌片2016年度项目万福寺至双河输水工程二标段  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/e95b354e-5fa7-4cc2-8ebf-bdb66b744a4a.html
date: 2016-09-09 ; title: 重庆城口（陕渝界）至开州高速公路土建施工及监理最高投标限价编制 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/970aa184-78c4-472d-b3ac-1f1ac086cf03.html
date: 2016-09-09 ; title: 重庆城口（陕渝界）至开州高速公路建设工程拟使用林地可研报告及林木采伐作业设计编制 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/78c0b9ee-e156-4d34-848f-843dd798269d.html
date: 2016-09-09 ; title: 重庆城口（陕渝界）至开州高速公路建设用地勘测定界及放线定桩  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/f82135db-91ca-4c4a-9dea-e4927af134e7.html
date: 2016-09-09 ; title: 北欧街项目(二次招标)  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/f014fa14-3e74-43a6-bb61-d8a0796bc92a.html
date: 2016-09-09 ; title: 重庆市检验检疫局“三中心”场平建设项目(重新招标） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/f9fc5d60-6518-4655-b8fa-92cabb7194b6.html
date: 2016-09-09 ; title: 明盛路道路工程及港东路连接道路工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/090a4546-aff6-479f-8428-28123ef2d73e.html
date: 2016-09-09 ; title: 明盛路道路工程及港东路连接道路工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/8c72410e-217c-472d-8cb2-07593c39f24e.html
date: 2016-09-09 ; title: 上汽依维柯红岩商用车有限公司技术中心台架试验能力提升项目（部分测试车间（门式轻钢(5~12轴)及钢框架(13~14轴)）、循环水泵房）（第二次）  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160909/b9bfee61-835c-4564-b0c1-b89821170343.html
date: 2016-09-02 ; title: 九龙坡区九龙镇蟠龙小学扩建项目 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/16439581-3c94-43d0-86cd-427cc45b60aa.html
date: 2016-09-02 ; title: 天宫殿N区立交I工程监理 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160902/2cfb73c6-6fc5-4bfd-9397-d2b84039f909.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程施工（二标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/4dc178ab-dc41-4f03-ad24-9a811692a5ac.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程施工（四标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/4a5df5ad-3700-4248-b25c-adcf0c0e9b6e.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程监理（一标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/26b5b7c4-ef73-4eca-b5f1-c3c762878385.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程监理（二标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/ce697535-ef21-4dda-8e6d-fc3fcdd71dff.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程施工（三标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/9b9aa1fe-54ca-4259-a34d-6efec98ad92f.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程施工（六标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/ed9b1ec8-bc81-49a6-bf31-ca593e9a4b13.html
date: 2016-09-01 ; title: 物流园铁路保税物流中心（B型）拓展区及生产资料市场片区市政工程及地块平场整治项目监理（第二次）  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/b63b4b79-edba-4553-8b4d-975016d5f00d.html
date: 2016-09-01 ; title: 翠云街道社区功能完善工程增补项目——环境绿化整治  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/7fde53a5-be93-4259-9592-302a97031162.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程监理（三标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/247d41fa-a9f6-4649-9f90-68f6fd861b7f.html
date: 2016-09-01 ; title: 福特汽车零部件分装厂房及物流信息中心A栋智能化系统工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/c5170d3e-2fb9-40d4-88ee-b0cc28fa4288.html
date: 2016-09-01 ; title: 沙坪坝区社区阵地外环境综合整治工程施工（一标段） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/45d6f086-5069-4026-9de3-39527fbbb8d4.html
date: 2016-09-01 ; title: 中国邮政储蓄银行重庆分行营运用房装修改造项目设计  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/82e2e8eb-32db-44ca-8f63-9f032aba77d2.html
date: 2016-09-01 ; title: 万寿片区安置房二期景观工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/ad088722-caa8-4295-8cdd-4033f5fe77e8.html
date: 2016-09-01 ; title: 郭家沱安置房弱电及智能化工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/ceb0cc19-2fb1-4b8e-bafe-2d01668e3cbf.html
date: 2016-09-01 ; title: 重庆两江新区鱼复工业园疏港大道二期道路景观工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/88fe1b06-f631-480b-9932-f17d0c1303dc.html
date: 2016-09-01 ; title: 朵力.池上春天项目（西苑）环境景观工程（第三次） ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160901/6eb157a6-55dd-48d7-8d07-135a0c2130ec.html
date: 2016-09-20 ; title: G50石忠路冷水应急救援基地（一期）房建工程  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/7e8e56e9-bc43-41f9-b97b-e3cbd7e5a080.html
date: 2016-09-20 ; title: 溉北路北段（一期）道路工程施工招标 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/58cec299-1ab8-4ecb-bee9-e8fec49f1e34.html
date: 2016-09-20 ; title: 丰都长江二桥北岸连接线（丰垫路）工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/84630760-58b5-4a5b-8179-3aa6302ae76d.html
date: 2016-09-20 ; title: 长寿区2016年度农业综合开发云台镇高标准农田建设项目 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/b5ff5662-a1f6-4a5c-bb52-35d259371b58.html
date: 2016-09-20 ; title: 长寿区2016年度农业综合开发云台镇高标准农田建设项目 ; location: 长寿区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/b2702c14-51c2-4ce3-8442-5973c2bb43b6.html
date: 2016-09-20 ; title: 潼南中央大街人行过街设施工程中标结果公示表 ; location: 潼南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/ea0ab1c2-21ea-4c57-8f52-358a39116e34.html
date: 2016-09-20 ; title: 两江中学校舍及管网改造工程中标（中选）结果公示 ; location: 渝北区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/ea1fddc2-e50f-46b9-adf6-20108d41295c.html
date: 2016-09-20 ; title: 潼南中央大街人行过街设施工程中标结果公示表 ; location: 潼南区 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/5df47b6f-e7db-448d-aa02-c56cbab5aefe.html
date: 2016-09-20 ; title: 华岩隧道西延伸段项目二标段 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160920/e4269280-6d26-4998-9874-a15c4b3fa392.html
date: 2016-09-19 ; title: 重庆市教育考试集训中心体育场工程 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160919/cce372a1-6e9c-4d72-819a-96fc3de69cd0.html
date: 2016-09-19 ; title: G65渝湘高速黄草至洪安段水毁处治工程施工  ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160919/6057dae2-7c19-4fa3-acf0-745eef7d0ab8.html
date: 2016-09-19 ; title: 酉阳县大水坝等5座小型水库项目勘察设计一标段 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160919/50faf442-881a-4160-b91f-d1aa5184e753.html
date: 2016-09-19 ; title: 酉阳县大水坝等5座小型水库项目勘察设计二标段 ; location: 市级 ; web: https://www.cqggzy.com/jyjg/005002/005002001/20160919/035096b3-1b7c-4905-a651-54cf8a2a8692.html
